Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/1/2008;00:00:00;1.620;0.070;241.250;6.600;0.000;0.000;18.000
1/1/2008;00:01:00;1.626;0.072;241.740;6.600;0.000;0.000;18.000
1/1/2008;03:21:00;2.642;0.000;243.370;10.800;0.000;0.000;18.000
1/1/2008;06:41:00;1.290;0.000;241.650;5.200;0.000;0.000;0.000
1/1/2008;10:01:00;0.234;0.000;243.570;1.000;0.000;0.000;0.000
1/1/2008;13:21:00;4.172;0.364;236.470;17.800;0.000;37.000;0.000
1/1/2008;16:41:00;1.440;0.054;244.250;6.000;0.000;0.000;0.000
1/1/2008;20:01:00;3.408;0.322;237.750;14.400;0.000;1.000;17.000
1/1/2008;23:21:00;0.362;0.000;244.810;1.400;0.000;0.000;0.000
2/1/2008;02:41:00;0.388;0.132;246.730;1.600;0.000;0.000;0.000
2/1/2008;06:01:00;0.374;0.100;247.190;1.600;0.000;0.000;0.000
2/1/2008;09:21:00;1.360;0.000;241.930;5.600;0.000;0.000;18.000
2/1/2008;12:41:00;1.346;0.000;240.690;5.600;0.000;0.000;17.000
2/1/2008;16:01:00;0.386;0.092;245.810;1.600;0.000;0.000;0.000
2/1/2008;19:21:00;1.796;0.084;238.520;7.400;0.000;0.000;0.000
2/1/2008;22:41:00;3.102;0.142;240.920;12.800;0.000;37.000;0.000
3/1/2008;02:01:00;0.376;0.126;247.080;1.600;0.000;1.000;0.000
3/1/2008;05:21:00;0.402;0.144;246.610;1.800;0.000;0.000;0.000
3/1/2008;08:41:00;1.648;0.070;241.310;6.800;0.000;0.000;18.000
3/1/2008;12:01:00;1.954;0.058;241.320;8.000;0.000;0.000;18.000
3/1/2008;15:21:00;0.442;0.220;246.610;2.000;0.000;2.000;0.000
3/1/2008;18:41:00;2.524;0.076;236.870;10.600;0.000;0.000;17.000
3/1/2008;22:01:00;0.364;0.112;241.990;1.600;0.000;0.000;0.000
4/1/2008;01:21:00;0.332;0.114;242.070;1.400;0.000;0.000;0.000
4/1/2008;04:41:00;0.282;0.000;245.840;1.400;0.000;0.000;0.000
4/1/2008;08:01:00;1.946;0.092;239.290;8.000;0.000;1.000;17.000
4/1/2008;11:21:00;1.754;0.000;237.190;7.400;0.000;0.000;17.000
4/1/2008;14:41:00;0.516;0.102;241.580;2.400;0.000;2.000;0.000
4/1/2008;18:01:00;2.256;0.204;237.640;9.600;0.000;5.000;17.000
4/1/2008;21:21:00;2.958;0.058;236.910;12.400;1.000;0.000;17.000
5/1/2008;00:41:00;0.364;0.102;243.450;1.600;0.000;1.000;0.000
5/1/2008;04:01:00;1.320;0.000;242.750;5.400;0.000;0.000;18.000
5/1/2008;07:21:00;0.322;0.108;241.820;1.400;0.000;0.000;0.000
5/1/2008;10:41:00;2.804;0.178;232.180;12.000;0.000;1.000;17.000
5/1/2008;14:01:00;1.624;0.000;240.180;6.800;1.000;0.000;17.000
5/1/2008;17:21:00;1.270;0.048;235.490;5.400;0.000;0.000;0.000
5/1/2008;20:41:00;1.784;0.180;236.140;7.600;1.000;0.000;17.000
6/1/2008;00:01:00;1.616;0.078;241.770;6.600;0.000;0.000;17.000
6/1/2008;03:21:00;0.338;0.108;244.130;1.400;0.000;0.000;0.000
6/1/2008;06:41:00;0.230;0.000;242.230;1.000;0.000;0.000;0.000
